,cust_id,acc_id,acc_balance
0,21684,10000018278,-268.92
1,69466,10000004293,-95.97
2,56607,10000023622,-142.63
3,33039,10000008877,-20.73
4,80215,10000019847,-232.06
5,97543,10000006772,-427.82
6,96715,10000008274,-201.81
7,44687,10000005335,-323.92
8,70936,10000007329,-132.97
9,58431,10000012631,-250.36
10,82606,10000020470,-83.67
11,86748,10000019442,-459.82
12,37721,10000010652,-321.94
13,82962,10000012689,-113.58
14,61427,10000016742,-237.71
15,32044,10000024769,-13.06
16,51215,10000010199,-463.57
17,78002,10000004786,-45.01
18,32172,10000005771,-419.86
19,77178,10000003979,-432.58
20,36654,10000017998,-468.98
21,44853,10000007572,-451.19
22,85192,10000004522,-179.27
23,77162,10000008832,-492.92
24,62243,10000010568,-378.86
25,31301,10000014935,-189.62
26,12730,10000000215,-281.72
27,74784,10000022450,-462.78
28,63961,10000001785,-11.69
29,10964,10000012426,-217.01
30,17163,10000007354,-226.6
31,72681,10000009841,-116.88
32,45012,10000012123,-87.37
33,75364,10000019428,-81.95
34,49166,10000017156,-372.61
35,78652,10000001529,-294.18
36,96129,10000001688,-413.26
37,66868,10000006687,-191.41
38,92024,10000009474,-306.22
39,14959,10000021799,-306.89
40,85066,10000003610,-413.78
41,48118,10000017358,-324.39
42,34358,10000005612,-174.16
43,17227,10000002588,-283.89
44,30354,10000006334,-356.29
45,43774,10000008062,-160.59
46,13174,10000022911,-24.71
47,89240,10000007093,-288.68
48,77709,10000020933,-106.62
49,28365,10000020344,-455.58
50,49213,10000000483,-41.83
51,53905,10000005468,-179.27
52,37096,10000005493,-491.43
53,60647,10000007460,-322.3
54,82694,10000003541,-226.37
55,41813,10000007031,-153.14
56,14203,10000018151,-491.19
57,32269,10000024414,-5.88
58,37047,10000023182,-262.05
59,36765,10000004026,-438.31
60,66883,10000021171,-358.6
61,27474,10000021503,-92.85
62,89662,10000011348,-92.9
63,44049,10000018787,-362.62
64,86630,10000024055,-194.8
65,17792,10000008920,-185.47
66,70589,10000013724,-335.77
67,65983,10000005937,-380.98
68,68020,10000010633,-438.48
69,46470,10000009668,-498.74
70,34808,10000015732,-89.17
71,75009,10000008556,-198.26
72,90614,10000008551,-223.41
73,44190,10000015619,-0.48
74,72052,10000000995,-195.29
75,65960,10000001309,-386.93
76,17957,10000011146,-229.12
77,96181,10000022565,-335.15
78,74453,10000022908,-63.25
79,34263,10000019350,-40.34
80,70038,10000001819,-288.05
81,64748,10000007770,-419.92
82,24117,10000001646,-33.17
83,89690,10000000433,-475.11
84,75961,10000013919,-87.22
85,69760,10000005275,-432.3
86,29735,10000007703,-2.48
87,97306,10000022201,-11.14
88,48168,10000011790,-263.75
89,55406,10000006951,-459.72
90,41465,10000003723,-198.83
91,12391,10000000723,-57.17
92,52421,10000024498,-344.63
93,66794,10000005013,-38.29
94,29735,10000007702,-401.43
95,83503,10000009963,-220.56
96,40721,10000023877,-179.45
97,50325,10000017110,-479.46
98,58403,10000002985,-154.97
99,59040,10000000544,-473.74
100,92625,10000006434,-265.67
101,69338,10000022315,-307.59
102,13001,10000010341,-61.13
103,27008,10000014525,-410.11
104,81399,10000017072,-406.49
105,50100,10000024418,-325.1
106,98788,10000019576,-192.85
107,84833,10000001461,2.7
108,93712,10000007443,-237.94
109,42885,10000024231,-32.69
110,10054,10000018778,-263.88
111,30628,10000001538,-73.24
112,22618,10000016125,-131.54
113,19644,10000001935,-123.61
114,47416,10000019283,-384.54
115,11393,10000004078,-263.24
116,31580,10000013139,-279.72
117,90582,10000010468,-272.05
118,60625,10000023978,-101.24
119,42516,10000005923,-187.33
120,44958,10000016723,-364.36
121,51164,10000004497,-293.27
122,20046,10000016558,-89.32
123,29813,10000002805,-20.38
124,26647,10000017392,-10.69
125,15560,10000000823,-161.7
126,75859,10000015543,9.84
127,15219,10000012408,-339.87
128,85767,10000024256,-445.64
129,68453,10000012157,-272.02
130,29146,10000008419,-444.77
131,21981,10000012707,-131.14
132,69038,10000008021,-431.95
133,79172,10000011103,3.25
134,69078,10000007268,-184.45
135,40553,10000002430,-198.94
136,81536,10000006757,-452.46
137,44126,10000009123,-294.92
138,67077,10000000455,-337.76
139,16164,10000013698,-458.96
140,70718,10000004704,-18.63
141,31891,10000008788,-192.42
142,61962,10000013264,-432.64
143,85997,10000017218,-401.76
144,10196,10000002374,-386.63
145,24130,10000013160,-142.81
146,55661,10000007248,-332.41
147,28602,10000006276,-205.4
148,22208,10000000349,-406.71
149,83665,10000004577,-122.25
150,91227,10000021362,-385.91
151,50917,10000019481,-284.84
152,57313,10000016103,-435.15
153,33094,10000008145,0.41
154,96907,10000000927,-358.44
155,20210,10000010339,-383.29
156,90371,10000009716,-144.33
157,96158,10000024494,-443.44
158,80741,10000000697,-118.35
159,39398,10000006052,-292.98
160,95180,10000016830,-260.48
161,55107,10000007394,-432.61
162,30647,10000002502,-291.03
163,49809,10000009746,-476.89
164,38102,10000013955,-270.84
165,80915,10000020105,-52.12
166,25731,10000003235,-96.21
167,56200,10000003136,-231.05
168,38131,10000020839,-250.63
169,53099,10000016652,-38.74
170,44311,10000018996,-130.04
171,21909,10000006154,-206.42
172,92089,10000021299,-263.29
173,80806,10000011970,-446.26
174,25169,10000006362,-221.27
175,89676,10000021629,-30.01
176,57658,10000011821,-309.72
177,76665,10000003000,-298.74
178,59281,10000000701,-293.03
179,43599,10000008547,-76.04
180,61284,10000021145,-134.81
181,24677,10000011786,-254.92
182,63320,10000019852,-250.11
183,82895,10000016561,-353.99
184,63325,10000023568,-469.55
185,34387,10000019524,-296.38
186,93823,10000002285,-71.03
187,23748,10000000322,-76.56
188,96202,10000009601,-315.55
189,99575,10000015215,-183.47
190,58823,10000020564,-68.85
191,40036,10000006787,-98.0
192,50651,10000016814,-43.35
193,41463,10000021402,-319.68
194,28730,10000004810,-469.24
195,16831,10000012388,-48.96
196,92063,10000001591,-318.44
197,54389,10000013258,-82.14
198,10627,10000019366,-232.29
199,32660,10000011411,-23.4
200,19577,10000011327,-464.13
201,32974,10000003725,-121.02
202,43339,10000012301,-56.25
203,47106,10000004275,-158.0
204,91172,10000008416,-360.09
205,45401,10000023407,-164.61
206,81562,10000017667,-407.71
207,30065,10000013520,-225.47
208,61254,10000013816,-102.29
209,97210,10000021533,-464.87
210,16565,10000011830,-490.2
211,44534,10000019402,-0.77
212,96910,10000004119,-279.17
213,99262,10000017940,-379.98
214,81613,10000003702,-394.1
215,89792,10000021315,-215.91
216,32135,10000003436,-129.17
217,81702,10000002701,-398.12
218,63761,10000008331,-279.46
219,40512,10000020959,-46.07
220,41765,10000023206,-351.41
221,96622,10000005206,-74.02
222,39172,10000001902,-314.0
223,87896,10000014112,-133.08
224,50572,10000003931,-51.04
225,70820,10000006230,-172.38
226,76639,10000017273,-201.84
227,10032,10000016368,-38.51
228,45876,10000000595,-449.76
229,36608,10000023325,-126.29
230,87555,10000023020,-268.59
231,65419,10000004270,-314.89
232,53692,10000013529,-242.48
233,29743,10000005688,-265.58
234,35428,10000021936,-51.3
235,86162,10000018160,3.99
236,92893,10000002565,-286.52
237,59961,10000013069,-123.61
238,89662,10000011349,-10.58
239,75259,10000017674,-123.0
240,59593,10000000703,-274.4
241,78291,10000020113,-215.89
242,67403,10000017677,-369.34
243,58793,10000009442,-163.47
244,84364,10000011134,-279.2
245,66586,10000007655,-121.88
246,18523,10000018742,-131.51
247,64174,10000014535,-42.28
248,64451,10000009858,-395.79
249,34575,10000016859,-469.67
250,25848,10000006539,-490.53
251,10657,10000016903,-237.9
252,47863,10000002875,-406.34
253,86197,10000017136,-459.57
254,29478,10000002944,-186.51
255,76716,10000008809,-314.1
256,98137,10000011306,-453.15
257,60607,10000004394,-102.72
258,53837,10000011749,-357.73
259,70127,10000016107,-240.86
260,92978,10000021047,-118.48
261,66068,10000008116,-336.08
262,86352,10000022105,-207.23
263,28339,10000015600,-35.03
264,36084,10000001262,-432.12
265,24459,10000019944,-445.58
266,26390,10000010374,-386.59
267,33298,10000016422,-224.88
268,17744,10000014418,-247.84
