tx_ref,post_date_time,tx_amt,tx_payee,tx_payee_acc,tx_payee_name,tx_payee_acc_bal,tx_payee_email,tx_payee_facebook_id,tx_payee_twitter_id,tx_payee_cust_identity,tx_payee_cust_contact,tx_payee_address,tx_payee_city,tx_payee_state,tx_payee_postcode,tx_ben,tx_ben_acc,tx_ben_name,tx_ben_acc_bal,tx_ben_email,tx_ben_facebook_id,tx_ben_twitter_id,tx_ben_cust_identity,tx_ben_cust_contact,tx_ben_address,tx_ben_city,tx_ben_state,tx_ben_postcode,tx_remark,doc_ref,level,watch_name,watch_label,alert_score
TX2020030919580000000001,20200309195854,7213.77,41346,10000002286,Leisa Ramey,-17807.82999999999,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,89183,10000009484,Shellie Grey,34686.30000000002,ShellieGrey@abc.com,ShellieGrey63,@ShellieGrey,857599,667673119,2686 Avery Park Drive ,Nashville,Tennessee,37211,Leisa Ramey to Shellie Grey,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000008333,20200309195854,8255.11,41346,10000002286,Leisa Ramey,-9552.71999999999,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,43909,10000014288,Lisa Wolfert,4786.580000000009,LisaWolfert@abc.com,LisaWolfert49,@LisaWolfert,861619,663383965,135 Pond Road ,Shelburne,Vermont,5482,Leisa Ramey to Lisa Wolfert,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000009068,20200309195854,8845.98,41346,10000002285,Leisa Ramey,1969.7799999999952,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,45500,10000013439,Roberto Kerr,74729.57,RobertoKerr@abc.com,RobertoKerr26,@RobertoKerr,880588,697424140,2212 Daffin Drive ,Savannah,Georgia,31404,Leisa Ramey to Roberto Kerr,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000011142,20200309195854,3253.32,41346,10000002285,Leisa Ramey,5223.099999999995,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,72845,10000000716,Dora Arndt,-14885.149999999996,DoraArndt@abc.com,DoraArndt8,@DoraArndt,869604,612504746,15 Lakewood Drive ,Thunderbolt,Georgia,31410,Leisa Ramey to Dora Arndt,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000011439,20200309195854,6826.92,41346,10000002285,Leisa Ramey,12050.019999999995,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,99293,10000015079,Daniel Price,-64040.29000000002,DanielPrice@abc.com,DanielPrice68,@DanielPrice,890662,699980804,111 20th Street ,Mexico Beach,Florida,32456,Leisa Ramey to Daniel Price,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000014341,20200309195854,7311.8,41346,10000002286,Leisa Ramey,-5903.17999999999,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,28067,10000005098,Joyce Ramirez,14434.060000000018,JoyceRamirez@abc.com,JoyceRamirez72,@JoyceRamirez,896258,636866189,16 Redbud Way ,Marlborough,Massachusetts,1752,Leisa Ramey to Joyce Ramirez,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000017881,20200309195854,2864.75,41346,10000002285,Leisa Ramey,14914.769999999995,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,75152,10000010030,Christopher Meadows,-32677.93,ChristopherMeadows@abc.com,ChristopherMeadows5,@ChristopherMeadows,846688,668719684,2313 Mansfield Avenue ,Del City,Oklahoma,73115,Leisa Ramey to Christopher Meadows,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000020804,20200309195854,8699.67,41346,10000002286,Leisa Ramey,-5007.919999999989,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,26033,10000006838,Latasha Marenco,-5846.890000000002,LatashaMarenco@abc.com,LatashaMarenco3,@LatashaMarenco,837532,626737740,5156 South Dakota Avenue Northeast ,Washington,Dist. of Columbia,20017,Leisa Ramey to Latasha Marenco,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000042262,20200309195854,230.68,41346,10000002286,Leisa Ramey,-4777.239999999989,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,24022,10000003733,Natalie Richardson,48912.46,NatalieRichardson@abc.com,NatalieRichardson48,@NatalieRichardson,829729,636324145,3425 North Futrall Drive ,Fayetteville,Arkansas,72703,Leisa Ramey to Natalie Richardson,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000047140,20200309195854,8894.49,41346,10000002285,Leisa Ramey,23809.259999999995,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,16807,10000013068,Howard Jones,-71045.96,HowardJones@abc.com,HowardJones77,@HowardJones,895075,619668332,7728 Twin Oaks Road ,Severn,Maryland,21144,Leisa Ramey to Howard Jones,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000050261,20200309195854,3205.54,41346,10000002285,Leisa Ramey,27014.8,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,21957,10000019695,Joseph Cole,-76537.22,JosephCole@abc.com,JosephCole24,@JosephCole,807804,667549365,12013 Blue Moon Avenue ,Oklahoma City,Oklahoma,73162,Leisa Ramey to Joseph Cole,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000052288,20200309195854,3020.97,41346,10000002285,Leisa Ramey,30035.77,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,52752,10000024330,Lance Morrison,-104299.54000000002,LanceMorrison@abc.com,LanceMorrison43,@LanceMorrison,871246,638576128,7730 Wilkinson Road ,Nashville,Tennessee,37080,Leisa Ramey to Lance Morrison,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000057063,20200309195854,7829.38,41346,10000002285,Leisa Ramey,37865.15,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,62883,10000019660,Karen Culotta,-87151.97,KarenCulotta@abc.com,KarenCulotta20,@KarenCulotta,826815,636641382,11102 Little Rock Court ,Louisville,Kentucky,40241,Leisa Ramey to Karen Culotta,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000061281,20200309195854,2161.41,41346,10000002286,Leisa Ramey,-2615.829999999989,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,79018,10000009465,Sheila Mcfarland,-140590.16999999998,SheilaMcfarland@abc.com,SheilaMcfarland69,@SheilaMcfarland,866981,669369144,10202 Vista Drive ,Cupertino,California,95014,Leisa Ramey to Sheila Mcfarland,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000067678,20200309195854,9023.95,41346,10000002285,Leisa Ramey,46813.48,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,35312,10000003815,Rose Kleinschmidt,-34439.48,RoseKleinschmidt@abc.com,RoseKleinschmidt98,@RoseKleinschmidt,823307,618806260,7711 North 51st Avenue #1180,Glendale,Arizona,85301,Leisa Ramey to Rose Kleinschmidt,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
