,cust_id,cust_name,no_of_acc,email,facebook_id,twitter_id,address,city,state,postcode,cust_identity,cust_contact
0,74388,Zachery Boland,1,ZacheryBoland@abc.com,ZacheryBoland55,@ZacheryBoland,4050 Bryce Road ,Nashville,Tennessee,37211,819803,658942607
1,14445,Helen Miller,1,HelenMiller@abc.com,HelenMiller25,@HelenMiller,623 Rhode Island Avenue Northwest ,Washington,Dist. of Columbia,20001,881751,609787990
2,63679,Kimberly Pinto,2,KimberlyPinto@abc.com,KimberlyPinto83,@KimberlyPinto,19237 North 69th Avenue ,Glendale,Arizona,85308,866310,620660056
3,19989,Janette Dannis,3,JanetteDannis@abc.com,JanetteDannis88,@JanetteDannis,3365 South Cato Springs Road ,Fayetteville,Arkansas,72701,825500,632637191
4,73621,Maria Vega,2,MariaVega@abc.com,MariaVega81,@MariaVega,7822 Club Crest Drive ,Arvada,Colorado,80005,846064,657820075
5,68208,Stella Jones,3,StellaJones@abc.com,StellaJones80,@StellaJones,534 Hamilton Street Northeast ,Washington,Dist. of Columbia,20011,857374,664088087
6,42547,Ila Uribe,3,IlaUribe@abc.com,IlaUribe16,@IlaUribe,449 15th Street Northeast ,Washington,Dist. of Columbia,20002,801553,698156727
7,55122,Joshua Banks,1,JoshuaBanks@abc.com,JoshuaBanks51,@JoshuaBanks,34 Free Street ,Hingham,Massachusetts,02043,861342,605603877
8,81735,Damian Salmon,3,DamianSalmon@abc.com,DamianSalmon87,@DamianSalmon,802 East 37th Street ,Savannah,Georgia,31401,828808,642031119
9,71312,Ann Halsey,1,AnnHalsey@abc.com,AnnHalsey72,@AnnHalsey,3446 Northwest 48th Street ,Oklahoma City,Oklahoma,73112,884494,628348327
10,40914,Michael Roberts,4,MichaelRoberts@abc.com,MichaelRoberts31,@MichaelRoberts,404 Summit Oaks Drive ,Nashville,Tennessee,37221,852209,678893741
11,17732,Sandra Hensley,4,SandraHensley@abc.com,SandraHensley34,@SandraHensley,5316 Silver Wing Boulevard ,Louisville,Kentucky,40241,827470,606995779
12,54641,Donald Garand,3,DonaldGarand@abc.com,DonaldGarand90,@DonaldGarand,457 Mountain Village Boulevard #320-3,Mountain Village,Colorado,81435,884184,623882708
13,22143,Aimee Worker,3,AimeeWorker@abc.com,AimeeWorker75,@AimeeWorker,5434 Cedar Ash Crossing ,Nashville,Tennessee,37013,869853,685777778
14,23385,Janine Ramsey,4,JanineRamsey@abc.com,JanineRamsey57,@JanineRamsey,5156 South Dakota Avenue Northeast ,Washington,Dist. of Columbia,20017,805671,621356444
15,18770,Jina Norton,2,JinaNorton@abc.com,JinaNorton30,@JinaNorton,1821 Catalpa Way ,Hayward,California,94545,836276,664883155
16,50692,Larry Starr,2,LarryStarr@abc.com,LarryStarr92,@LarryStarr,3373 Runnymede Place Northwest ,Washington,Dist. of Columbia,20015,815421,682679528
17,41467,Arnold Ferrell,1,ArnoldFerrell@abc.com,ArnoldFerrell2,@ArnoldFerrell,10307 Rock Falls Court ,Louisville,Kentucky,40223,814060,685451307
18,52229,Bryan Lanius,1,BryanLanius@abc.com,BryanLanius58,@BryanLanius,51 Edgar Road ,Scituate,Massachusetts,02066,869806,664929923
19,33017,Pablo Bonebright,1,PabloBonebright@abc.com,PabloBonebright53,@PabloBonebright,8133 Meadowgreen Place ,Louisville,Kentucky,40299,840365,607315626
20,59893,Norman Davis,2,NormanDavis@abc.com,NormanDavis19,@NormanDavis,8501 Twin Gable Drive ,Montgomery,Alabama,36116,851485,646150480
21,22837,Laurie Lawrence,1,LaurieLawrence@abc.com,LaurieLawrence76,@LaurieLawrence,10110 Landwood Drive ,Louisville,Kentucky,40291,807499,644310097
22,92046,Michael Jackson,4,MichaelJackson@abc.com,MichaelJackson75,@MichaelJackson,3031 Casa Drive ,Nashville,Tennessee,37214,835631,639952014
23,13246,Oscar Burke,4,OscarBurke@abc.com,OscarBurke50,@OscarBurke,720 South River Landing Road ,Edgewater,Maryland,21037,836713,697463616
24,32977,Harry Martinez,1,HarryMartinez@abc.com,HarryMartinez60,@HarryMartinez,36 Saint Ives Drive ,Savannah,Georgia,31419,884060,658372105
25,45870,John Donatello,3,JohnDonatello@abc.com,JohnDonatello95,@JohnDonatello,1011 Bell Avenue ,Glen Burnie,Maryland,21060,852972,612711550
26,44971,Glenn Dubin,2,GlennDubin@abc.com,GlennDubin71,@GlennDubin,607 Trails End Road ,Manchester,Connecticut,06042,873679,684652782
27,58589,Jeffrey Germany,1,JeffreyGermany@abc.com,JeffreyGermany88,@JeffreyGermany,594 Putnam Avenue #2,Cambridge,Massachusetts,02139,829347,680914946
28,17022,Judy Beitel,2,JudyBeitel@abc.com,JudyBeitel90,@JudyBeitel,316 20th Street Northeast ,Washington,Dist. of Columbia,20002,800634,617818597
29,61173,Grant Farrington,2,GrantFarrington@abc.com,GrantFarrington67,@GrantFarrington,2017 North Hartford Drive ,Fayetteville,Arkansas,72701,820886,685755862
30,86363,Delores Rodriguez,2,DeloresRodriguez@abc.com,DeloresRodriguez51,@DeloresRodriguez,11 North Vineyard Drive ,Pueblo West,Colorado,81007,812525,679461557
31,94398,Mindy Kleinman,2,MindyKleinman@abc.com,MindyKleinman12,@MindyKleinman,54 Gentry Court ,Annapolis,Maryland,21403,825342,660794021
32,66615,Adolph Du,4,AdolphDu@abc.com,AdolphDu90,@AdolphDu,4617 East 3rd Street ,Panama City,Florida,32404,838643,656550999
33,54382,Kenneth Stafford,4,KennethStafford@abc.com,KennethStafford73,@KennethStafford,703 Elizabeth Barcus Way ,Fortuna,California,95540,881011,646149524
34,77184,Mildred Thai,4,MildredThai@abc.com,MildredThai75,@MildredThai,9176 Ellis Way ,Arvada,Colorado,80005,818541,637804732
35,42868,Janet Schneider,1,JanetSchneider@abc.com,JanetSchneider70,@JanetSchneider,140 William Chambers Junior Drive ,Glen Burnie,Maryland,21060,882872,648402874
36,88760,Janice Tully,3,JaniceTully@abc.com,JaniceTully34,@JaniceTully,1 Logan Circle Northwest ,Washington,Dist. of Columbia,20005,829341,642419665
37,70088,Ruben Rogers,4,RubenRogers@abc.com,RubenRogers12,@RubenRogers,120 Depot Street #3,Easton,Massachusetts,02375,863234,658785932
38,11995,Oscar Brown,2,OscarBrown@abc.com,OscarBrown22,@OscarBrown,7124 West Morrow Drive ,Glendale,Arizona,85308,876119,684346677
39,39935,Martha Gamez,2,MarthaGamez@abc.com,MarthaGamez40,@MarthaGamez,4821 Milner Drive ,Nashville,Tennessee,37211,891380,684482217
40,85909,Ronald Castellanos,4,RonaldCastellanos@abc.com,RonaldCastellanos94,@RonaldCastellanos,4604 Virginia Loop Road ,Montgomery,Alabama,36116,825533,604295656
41,79504,Manuel Grewe,2,ManuelGrewe@abc.com,ManuelGrewe9,@ManuelGrewe,7407 North 75th Drive ,Glendale,Arizona,85303,848719,650445553
42,12927,Barbara Mullen,1,BarbaraMullen@abc.com,BarbaraMullen26,@BarbaraMullen,235 Brock Bridge Road ,Laurel,Maryland,20724,861206,661941647
43,91436,Doris Peterson,3,DorisPeterson@abc.com,DorisPeterson64,@DorisPeterson,3819 Vineyard Avenue #59,Pleasanton,California,94566,823173,678211753
44,84256,Donald Ballard,2,DonaldBallard@abc.com,DonaldBallard54,@DonaldBallard,7144 Marlborough Terrace ,Berkeley,California,94705,821522,657036092
45,90053,Matthew Ide,3,MatthewIde@abc.com,MatthewIde60,@MatthewIde,115 Colemont Court ,Nashville,Tennessee,37013,875861,609113935
46,66359,Wendy Sneeden,1,WendySneeden@abc.com,WendySneeden72,@WendySneeden,1011 Bell Avenue ,Glen Burnie,Maryland,21060,841282,656997384
47,28593,David Castellanos,4,DavidCastellanos@abc.com,DavidCastellanos35,@DavidCastellanos,4313 Bylsma Circle ,Panama City,Florida,32404,804925,640011378
48,81559,Seth Sanchez,4,SethSanchez@abc.com,SethSanchez42,@SethSanchez,4032 Windwood Lane ,Nashville,Tennessee,37214,843705,621666979
49,63967,Chang Cradle,1,ChangCradle@abc.com,ChangCradle73,@ChangCradle,1013 Balboa Avenue #A,Capitola,California,95010,872923,697913388
50,40439,Trenton Kramer,1,TrentonKramer@abc.com,TrentonKramer15,@TrentonKramer,312 North Cove Boulevard ,Panama City,Florida,32401,863957,641958319
51,32046,Cynthia Brewer,3,CynthiaBrewer@abc.com,CynthiaBrewer95,@CynthiaBrewer,2209 Florida Avenue ,Savannah,Georgia,31404,897993,665596195
